,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37
Feature 1,0.08125460519368702,-0.0023291362838197254,0.0009577614370806788,-0.00044659139438757304,-0.0006502121587834506,-0.0003496940935033053,0.002045570762808923,-0.003871761989345723,-0.0009917894529065828,0.0010906436469532205,0.001456784411201948,0.004168784603501062,0.000464520267315535,0.00027000553353036645,-0.0034945329739725943,-0.00028515556552893774,0.00016335696438771901,0.0004177813536176213,0.0012297905629111857,-0.0036417977741062427,-0.0008926516488461929,-0.005836950881997604,-0.0010973292994109565,0.0012660312226035527,-0.0003959268908380756,-0.00010982983435270344,-0.005153997943158662,0.000902892488873429,0.014251342235199926,0.0016590278691702147,0.035902647640776025,0.005680773512773714,-0.011954897103778797,0.0010480048802755338,0.0009105666900967228,0.003728010243897362,-0.006771859685457655
Feature 2,-0.0023291362838197254,0.08371289668873132,-0.0037647673166757065,0.0008835066304163711,-0.0012666406993400148,-0.00338074011635374,0.004567856259110267,-0.002173137146073787,-0.0015866767284987223,-0.0015345586570786336,0.0023304169417706667,-0.00048146858781825694,0.0004657547400572589,-0.0016299450038860072,0.0025555789541122005,0.00014657698338014618,-0.0005816877246356615,-0.00046044076205894405,-0.0012960887523013722,-0.0022138414796213685,-0.0021295983761503248,0.0014467492694138309,0.00022967020976792703,0.00043467227847615163,0.0008782853518106152,0.0017676025416949617,0.020034237161018733,0.011614682501535785,-0.006899720566127994,0.011970341679079175,0.00126352877653051,0.0016166646766117392,-0.00860433752860686,0.01504921769182084,0.00294896526068939,0.0004172548384452791,0.0019895887570994877
Feature 3,0.0009577614370806788,-0.0037647673166757065,0.0824995817577521,-0.0030268848366865704,0.0002607715763199985,0.00018626919777490084,0.0018563548120046176,-0.00035080795963992836,-0.0021941759025565235,0.0013444303829005487,-0.00171342623172104,-7.160727859200718e-05,0.001350943197151744,0.00022376940542735257,-0.002417611293859606,0.00029554926991903313,0.002948875557975047,0.0017106930091328326,0.0014736635240772565,0.0006163399939924305,-0.0008090790246331622,-0.0009015298182450806,-0.00021221632442233924,-0.0016474905907478406,0.0018767313525349589,0.0034559359255756637,-0.0024429529818219458,-0.001446090023308109,-0.0035276515510292185,-0.0018702449775267972,0.00022416457827068687,0.0008129582027518473,-0.00407354712427596,-0.002460549676139546,-0.0031777288213030606,0.00044404987224927304,0.0006508310374315905
Feature 4,-0.00044659139438757304,0.0008835066304163711,-0.0030268848366865704,0.08328691156965067,0.0010396862289505193,0.0008288315836624997,-0.0020112575865865643,0.0009155739251826149,-0.0025483307433543678,-0.002968831988325455,0.001622235731373815,0.0041757074120980465,-0.0033583059330113863,-0.0007467699980394421,0.003143749204304425,0.0006419620246537138,0.0032268839426758383,0.0002396744888568774,-0.00018924095877598704,0.00022902686161899882,0.003759855042632417,0.00012391039409769317,-0.0020699048902724187,0.00011260780079412479,-0.0010603942775116316,0.0007915930851012385,-0.002703732039535037,0.0008414610949857565,0.0009794058327900217,0.0009199476754192284,0.000800713996251537,-0.00026417122714941235,0.0004649021106634613,0.0010897183700986804,0.001203785703122845,0.0010743634875030321,-0.0008120772383400848
Feature 5,-0.0006502121587834506,-0.0012666406993400148,0.0002607715763199985,0.0010396862289505193,0.08183238452057084,0.001504210308373143,-0.00048202826660097346,-0.001236724706781075,-0.0005909059765727982,-0.003026226494361541,-0.0009213358727061802,0.0011012172139118872,0.001267318865859629,-0.0020392463391119414,-0.0020878578801797245,-0.002861860360744011,-0.0003275905627205939,-0.0013133745031037227,0.004178445532898402,0.0027073501749365365,0.0036422629047302927,0.0005840781418887136,0.0014047196759247465,-0.0006024419451453524,-0.0014985937823279926,-0.0002596882740875721,0.005032727276075511,0.0008705522710063973,0.001198599574195406,0.00037863507560590847,-0.0012537574697181171,-0.000671468456051185,0.002293111629973233,0.000653974376272614,0.003207948259076331,-2.9371033060733422e-05,0.0011561044654032216
Feature 6,-0.0003496940935033053,-0.00338074011635374,0.00018626919777490084,0.0008288315836624997,0.001504210308373143,0.08320186660474187,0.0015571085142106471,-0.0031099255643770294,0.0010186185239732112,0.0010960979416435317,0.0022911917010018453,0.001395199381334711,-0.001564245958666331,-2.0831409805350622e-05,-0.0017570979423908847,0.00353878176800932,0.0018130028268079144,0.005175680283528068,0.0018756448072607067,-0.0016316104085983302,-0.0035708196817624306,-0.004336735550839062,0.001907550037962351,-0.0001876819159988759,-0.002486135571349903,0.000643500236649174,-0.0026081252903463127,-5.276736444486692e-05,0.0018897824353251201,-0.0006263432347790719,0.0008949508209138786,0.00037616955787420927,0.0013987622997227282,-0.0008508873671257278,-0.0017511011664919462,0.0018054149686857089,-0.0027668743598660227
Feature 7,0.002045570762808923,0.004567856259110267,0.0018563548120046176,-0.0020112575865865643,-0.00048202826660097346,0.0015571085142106471,0.0817595726213185,0.00194525657978705,-0.00015761787347223256,0.002591411495497491,0.0006460255325507259,-4.815409925076992e-05,-0.0023727475215644866,0.00039556038589515566,-0.0015064513659167151,0.0015315316921459413,-0.0022452613864873553,0.0019221523601624583,0.0003285010520011295,-8.930740099667063e-05,0.0012398230963801544,-0.0005511086239224813,-0.0015879709411795004,-0.005051831403187492,0.0030510577154668284,0.0005221413946212287,0.00044209428363330453,0.0004885662145775132,-0.00018476730536695694,7.51096934778875e-05,0.0018222350160197306,0.0006231627218976065,-0.0016109022322718597,0.00035675234072389626,0.0014674496811835644,0.0004723348425588747,-0.0017351422143554469
Feature 8,-0.003871761989345723,-0.002173137146073787,-0.00035080795963992836,0.0009155739251826149,-0.001236724706781075,-0.0031099255643770294,0.00194525657978705,0.08363608583920336,-0.0034390476693501025,0.0041001922803375135,0.0031301296463957886,0.0014878830697447668,0.0009670524305763921,-0.0009209505059007651,0.0006108505442371756,0.0020132996343631433,-0.003341367486302498,-0.00016978946233757694,0.0027674475698634283,-0.0038255113584279594,0.003722699140709753,0.0009911226446472528,-0.0006655261275094614,-0.0009595101185504609,0.001331639763728832,0.003083248195218472,-0.0005155994048568082,-0.0008484106814656125,0.0004339896236961941,-0.0013032515390244623,-0.002194131276192821,-0.0023142670682486967,0.002173434604487995,-0.00122832179448429,-0.002251833968531912,-0.00020623521565833053,0.00029695175684645985
Feature 9,-0.0009917894529065828,-0.0015866767284987223,-0.0021941759025565235,-0.0025483307433543678,-0.0005909059765727982,0.0010186185239732112,-0.00015761787347223256,-0.0034390476693501025,0.08335839810881131,0.00014259339680003385,0.003414269401452111,-0.0008695983802924296,0.0014643564132910192,0.0011925599865115404,0.000481909347519972,-0.0007718262580729025,-0.0017947579159101842,-0.001016478116267959,-0.0018782031231413627,0.0010271625228208251,-0.0026772044946461546,0.0008746890444369753,0.0020097059078303405,-0.0005692833251408534,-0.000946091926990938,-0.0021685414830432776,0.0006288569808263,0.00022102514575096224,-0.000558073042618854,-0.000387927519439632,-0.001348758705144181,-0.0002929976007040904,0.0004241758425507065,-0.0004660156049807828,0.0020658900474370507,-0.0019404239140058625,0.0012319800167397952
Feature 10,0.0010906436469532205,-0.0015345586570786336,0.0013444303829005487,-0.002968831988325455,-0.003026226494361541,0.0010960979416435317,0.002591411495497491,0.0041001922803375135,0.00014259339680003385,0.08307976876925131,0.0002579817001638236,-0.0015668441774450439,0.00452299452501186,-8.752644603658474e-05,-0.00016814516995404568,-0.0003382245303551797,0.003573138357552392,0.002054689954471747,-0.001317844208674261,0.0016381993662515544,-0.0009881167899968228,-0.0018507953304001804,0.0010001720300444714,-0.002027710381594753,-0.0024531431261271973,-0.0028636966910457833,0.0069271613588881365,-0.0006523217035301309,-0.0085621121179152,-0.00035305471690619424,-0.0008088953889689647,0.0008966045372389247,-0.00884274708315208,-0.0005572986289655653,-0.0015550469401075296,0.00034030427669706184,-0.0003096041869967813
Feature 11,0.001456784411201948,0.0023304169417706667,-0.00171342623172104,0.001622235731373815,-0.0009213358727061802,0.0022911917010018453,0.0006460255325507259,0.0031301296463957886,0.003414269401452111,0.0002579817001638236,0.08363199294782349,-0.0016475217376209646,-0.001517436122199387,0.00022436188932035777,0.00416018191775488,0.0015360863356354891,-0.0017692381903270213,0.0005312224906270257,-0.002367070703068952,-0.0016294286521325854,0.0027426952611443343,0.001391324061539531,0.002717266151826306,0.001047581190604101,-0.00033958539268415813,-0.002560127350252008,-0.017143544180584055,0.00036150596516144103,0.004311382095036731,0.0011899699765921833,0.0023079450370760072,0.0006215040022161609,0.002985614492674842,0.0013092622511394415,0.0021352465367811455,-0.0006624867815891912,0.0020105991663588326
Feature 12,0.004168784603501062,-0.00048146858781825694,-7.160727859200718e-05,0.0041757074120980465,0.0011012172139118872,0.001395199381334711,-4.815409925076992e-05,0.0014878830697447668,-0.0008695983802924296,-0.0015668441774450439,-0.0016475217376209646,0.08640540510870856,-0.0027853769586352766,0.0024901174085816893,0.0015013107080131072,0.0015823522295967103,-0.0010331919486024797,0.0006395364671532558,-0.0008223422923466742,0.0009658600895527012,0.0023853534745641586,0.0011854974618652602,-0.00015338957394144665,0.0022952597294072633,-0.0004555645260686758,-0.0018185760439787906,-0.004814305593749798,-0.002446664093473605,-0.002789468121746263,-0.002571626959537621,0.0017714839888965384,-0.0012834673961135607,-0.0044516625546287755,-0.0023222026967672895,-0.00018671179852570042,-0.0003711167650063517,0.0002913320620887338
